C,0,8.2
D,2,9.2
E,4,10.3
F,5,10.9
G,7,12.2
A,9,13.8
B,11,15.4
C,12,16.4
D,14,18.4
E,16,20.6
F,17,21.8
G,19,24.5
A,21,27.5
B,23,30.9
C,24,32.7
D,26,36.7
E,28,41.2
F,29,43.7
G,31,49.0
A,33,55.0
B,35,61.7
C,36,65.4
D,38,73.4
E,40,82.4
F,41,87.3
G,43,98.0
A,45,110.0
B,47,123.5
C,48,130.8
D,50,146.8
E,52,164.8
F,53,174.6
G,55,196.0
A,57,220.0
B,59,246.9
C,60,261.6
D,62,293.7
E,64,329.6
F,65,349.2
G,67,392.0
A,69,440.0
B,71,493.9
C,72,523.3
D,74,587.3
E,76,659.3
F,77,698.5
G,79,784.0
A,81,880.0
B,83,987.8
C,84,1046.5
D,86,1174.7
E,88,1318.5
F,89,1396.9
G,91,1568.0
A,93,1760.0
B,95,1975.5
C,96,2093.0
D,98,2349.3
E,100,2637.0
F,101,2793.8
G,103,3136.0
A,105,3520.0
B,107,3951.1
C,108,4186.0
D,110,4698.6
E,112,5274.0
F,113,5587.7
G,115,6271.9
A,117,7040.0
B,119,7902.1
C,120,8372.0
D,122,9397.3
E,124,10548.1
F,125,11175.3
G,127,12543.9
